Item Name,Category,Items Sold,Unit Price,Gross Sales,Discounts,Net Total
5000(B)500ML,BEER MADE IN INDIA,96,110,10560.00,0.00,10560.00
5000(B)650ML,BEER MADE IN INDIA,2,148,296.00,0.00,296.00
5000(B)650ML,BEER MADE IN INDIA,10,150,1500.00,0.00,1500.00
BACARDI LIMON(R)375ML,IMFL RUM,1,530,530.00,0.00,530.00
BACARDI MANGO CHILLI(R)180ML,IMFL RUM,8,287,2296.00,0.00,2296.00
BACARDI MANGO CHILLI(R)180ML,IMFL RUM,2,290,580.00,0.00,580.00
BACARDI MANGO CHILLI(R)375ML,IMFL RUM,6,524,3144.00,0.00,3144.00
BACARDI MANGO CHILLI(R)375ML,IMFL RUM,1,530,530.00,0.00,530.00
BACARDI MANGO CHILLI(R)750ML,IMFL RUM,1,1000,1000.00,0.00,1000.00
BACARDI(R)180ML,IMFL RUM,1,280,280.00,0.00,280.00
